rid,binaryID
1,11000000000010100000000010000000100000001000000000000001000000001
2,1100000000001010000000001000000010000000100000000000000100000000
3,110000000000101000000000100000001000000010000000000000010000000
4,11000000000010100000000010000000100000001000000000000001000000
5,1100000000001010000000001000000010000000100000000000000100000
6,110000000000101000000000100000001000000010000000000000010000
7,11000000000010100000000010000000100000001000000000000001000
8,1100000000001010000000001000000010000000100000000000000100
9,110000000000101000000000100000001000000010000000000000010
10,110000000000101000000000100000001000000010000000000000011
11,1100000000001010000000001000000010000000100000000000000
12,110000000000101000000000100000001000000010000000000000
13,11000000000010100000000010000000100000001000000000000
14,1100000000001010000000001000000010000000100000000000
15,110000000000101000000000100000001000000010000000000
16,11000000000010100000000010000000100000001000000000
17,1100000000001010000000001000000010000000100000000
18,110000000000101000000000100000001000000010000000
19,11000000000010100000000010000000100000001000000
20,1100000000001010000000001000000010000000100000
21,110000000000101000000000100000001000000010000
22,11000000000010100000000010000000100000001000
23,1100000000001010000000001000000010000000100
24,110000000000101000000000100000001000000010
25,11000000000010100000000010000000100000001
26,1100000000001010000000001000000010000000
27,110000000000101000000000100000001000000
28,11000000000010100000000010000000100000
29,1100000000001010000000001000000010000
30,110000000000101000000000100000001000
31,11000000000010100000000010000000100
32,1100000000001010000000001000000010
33,1100000000001010000000001000000011
34,11000000000010100000000010000000
35,1100000000001010000000001000000
36,110000000000101000000000100000
37,11000000000010100000000010000
38,1100000000001010000000001000
39,110000000000101000000000100
40,11000000000010100000000010
41,1100000000001010000000001
42,110000000000101000000000
43,11000000000010100000000
44,1100000000001010000000
45,110000000000101000000
46,11000000000010100000
47,1100000000001010000
48,110000000000101000
49,11000000000010100
50,1100000000001010
51,1100000000001011
52,11000000000010
53,1100000000001
54,110000000000
55,11000000000
56,1100000000
57,110000000
58,11000000
59,1100000
60,110000
61,11000
62,1100
63,110
64,11
66,110000000000101000000000100000001000000010000000000000010000010
67,11000000000010100000000010000000100000001000000000000001000001
68,11000000000010100000000010000000100000001000000000000001000000011
69,1100000000001010000000001000000010000000100000000000000100000001
70,110000000000101000000000100000001000000010000000000000010000011
71,110000000000101000000000100000001000000010000000000000010000001
72,1100000000001010000000001000000010000000100000000000000100000011
73,11000000000010100000000010000000100000001000000000000001000100
74,1100000000001010000000001000000010000000100000000000000100010
75,110000000000101000000000100000001000000010000000000000010001
76,1100000000001010000000001000000010000000100000000000000100011
77,11000000000010100000000010000000100000001000000000000001000101
78,1100000000001010000000001000000010000000100000000000000100001
79,11000000000010100000000010000000100000001000000000001000
80,1100000000001010000000001000000010000000100000000000100
81,110000000000101000000000100000001000000010000000000010
82,110000000000101000000000100000001000000010000000000011
83,1100000000001010000000001000000010000000100000000000000100100
84,110000000000101000000000100000001000000010000000000000010010
85,11000000000010100000000010000000100000001000000000000001001
86,1100000000001010000000001000000010000000100000000000101
87,11000000000010100000000010000000100000001000000000001001
88,1100000000001010000000001000000010000000100000000000000100101
89,110000000000101000000000100000001000100000000
90,11000000000010100000000010000000100010000000
91,1100000000001010000000001000000010001000000
92,110000000000101000000000100000001000100000
93,11000000000010100000000010000000100010000
94,1100000000001010000000001000000010001000
95,110000000000101000000000100000001000100
96,11000000000010100000000010000000100010
97,1100000000001010000000001000000010001
98,110000000000101000000000100000001000100000001
99,1100000000001010000000001000000010000000100011001
100,110000000000101000000000100000001000000010001100
101,11000000000010100000000010000000100000001000110
102,1100000000001010000000001000000010000000100011
103,110000000000101000000000100000001000000010001
104,1100000000001010000000001000000010001000001
105,1100000000001010000000001000000010000000100000000000000100110
106,110000000000101000000000100000001000000010000000000000010011
107,11000000000010100000000010000000100000001000000000001101
108,1100000000001010000000001000000010000000100000000000110
109,110000000000101000000000100000001000000010001101
110,1100000000001010000000001000000010000000100000000000000110
111,1100000000001010000000001000000010000000100000000000111
112,11000000000010100000000010000000100110000001100
113,1100000000001010000000001000000010011000000110
114,110000000000101000000000100000001001100000011
115,11000000000010100000000010000000100110000001
116,1100000000001010000000001000000010011000000
117,110000000000101000000000100000001001100000
118,11000000000010100000000010000000100110000
119,1100000000001010000000001000000010011000
120,110000000000101000000000100000001001100
121,11000000000010100000000010000000100110
122,1100000000001010000000001000000010011
123,110000000000101000000000100000001001
124,11000000000010100000000010000000100010000001
125,1100000000001010000000001000000010000000100000000000000100111
126,110000000000101000000000100000001000000010001110
127,11000000000010100000000010000000100000001000111
128,11000000000010100000000010000000100110000001101
129,1100000000001010000000001000000010000000100000000000001
130,11000000000010100000000010000000100110000001110
131,1100000000001010000000001000000010011000000111
132,11000000000010100000000010000000100110000001111
133,11000000000010100000000010000000100000001000000000000001010
134,1100000000001010000000001000000010000000100000000000000101
135,1100000000001010000000001000000010000000100011110
136,110000000000101000000000100000001000000010001111
137,1100000000001010000000001000000010000000100011111
138,11000000000010100000000010000000100000001000000000000000
139,110000000000101000000000100000001000000010000000000000010110
140,11000000000010100000000010000000100000001000000000000001011
141,1100000000001010000000001000000010000000100000000000000111
142,11000000000010100000000010000000100010001
143,110000000000101000000000100000001000100001
144,11000000000010100000000010000000100000001000000001
145,1100000000001010000000001000000010011000001
146,110000000000101000000000100000001000000010000000000001
147,11000000000010100000000010000000100110000011
148,1100000000001010000000001000000010011000010
149,110000000000101000000000100000001001100001
150,1100000000001010000000001000000010001001
151,1100000000001010000000001000000010000000100000001
152,1100000000001010000000001000000010000000100000000000000101110
153,110000000000101000000000100000001000000010000000000000010111
154,1100000000001010000000001000000010000000100000000000000101111
155,1100000000001010000000001000000010011001
156,1100000000001010000000001000000010000000100001
157,110000000000101000000000100000001000000010000000000100
158,11000000000010100000000010000000100000001000000000010
159,1100000000001010000000001000000010000000100000000001
160,1100000000001010000000001000000010011000011
161,110000000000101000000000100000001000000010000001
162,1100000000001010000000001000000010001011
163,110000000000101000000000100000001000101
164,110000000000101000000000100000001000000010000000001
165,11000000000010100000000100010001
166,1100000000001010000000010001000
167,110000000000101000000001000100
168,11000000000010100000000100010
169,11000000000010100000000100011
170,110000000000101000000001000
171,11000000000010100000000100
172,1100000000001010000000010
173,110000000000101000000001
174,1100000000001010000000001000010000
175,110000000000101000000000100001000
176,11000000000010100000000010000100
177,1100000000001010000000001000010
178,110000000000101000000000100001
179,11000000000010100000000010000100010
180,1100000000001010000000001000010001
181,11000000000010100000000010000000100000001000000000010100
182,1100000000001010000000001000000010000000100000000001010
183,110000000000101000000000100000001000000010000000000101
184,11000000000010100000000010000000100110001
185,1100000000001010000000001000000010011010
186,110000000000101000000000100000001001101
187,1100000000001010000000010001001
188,110000000000101000000000100000001000000010000000000101010
189,11000000000010100000000010000000100000001000000000010101
190,11000000000010100000000010000000100000001000000000011
191,11000000000010100000000010000100011
192,110000000000101000000001000110
193,1100000000001010000000001000000010011011
194,110000000000101000000000100000001000000010000000000101011
195,11000000000010100000000010000000100000001000001
196,11000000000010100000000010000000100111
197,1100000000001010000000001000000010000000100000000001011
198,11000000000010100000000010000000100000001001
199,11000000000010100000000010000000100011
200,1100000000001010000000001000000010000000101010000
201,110000000000101000000000100000001000000010101000
202,11000000000010100000000010000000100000001010100
203,1100000000001010000000001000000010000000101010
204,1100000000001010000000001000000010000000101011
205,11000000000010100000000010000000100000001010
206,1100000000001010000000001000000010000000101
207,11000000000010100000000010000000100000001010100001
208,110000000000101000000001000101
209,11000000000010100000000010000000101
210,110000000000101000000000100001001
211,110000000000101000000001000111
212,1100000000001010000000001000000010000001
213,11000000000010100000000010000000100000001010101
214,11000000000010100000000010000000100001
215,11000000000010100000000010000000100000001010110
216,1100000000001010000000010011
217,110000000000101000000001001
218,1100000000001010000000001000000010000000101010001
219,11000000000010100000000010000101
220,110000000000101000000000100000001000000010100
221,11000000000010100000000101
222,110000000000101000000000100000001000000011
223,110000000000101000000000111
224,11000000000010100000000011
225,1100000000001010000000001000000010000000101010010
226,110000000000101000000000100000001000000010101001
227,1100000000001010000000001000000010000000101010011
228,11000000000010100000000010001
229,110000000000101000000000100000001000001
230,11000000000010100000000010000111
231,1100000000001010000000001000011
232,1100000000001010011000
233,110000000000101001100
234,11000000000010100110
235,11000000000010100111
236,110000000000101001
237,1100000000001010000001
238,1100000000001010000100
239,110000000000101000010
240,11000000000010100001
241,11000000000010100000000010000000100000001010100101
242,1100000000001010011001
243,110000000000101000000000100000001000000010110
244,11000000000010100000000010000000100000001011
245,11000000000010100000000010000000110
246,110000000000101000000000100000000
247,1100000000001010000000011
248,1100000000001010000101
249,110000000000101000000000100000001110000
250,11000000000010100000000010000000111000
251,1100000000001010000000001000000011100
252,110000000000101000000000100000001110
253,11000000000010100000000010000000111
254,110000000000101001101
255,110000000000101000000000100000001000000010111
256,1100000000001010000000001000000011100001
257,110000000000101000000000100000001111
258,110000000000101001110
259,110000000000101000000000100000001000000010101110
260,11000000000010100000000010000000100000001010111
261,111001000001001
262,11100100000100
263,1110010000010
264,111001000001
265,11100100000
266,1110010000
267,111001000
268,11100100
269,1110010
270,111001
271,11100
272,1110
273,111
274,11000000000010100000000010000000111001
275,11000000000010100000000010000001
276,110000000000101000000000100000001000000010101111
277,11100100000101
278,11100100000111
279,1110010000011
280,1100000000001010000000001000000011100011000
281,110000000000101000000000100000001110001100
282,11000000000010100000000010000000111000110
283,1100000000001010000000001000000011100011
284,110000000000101000000000100000001110001
285,110000000000101000011
286,1100000000001100
287,110000000000110
288,11000000000011
289,110000000000101001111
290,110000000000101000000000100000011
291,1100000000001101
292,111001000111
293,11100100011
294,1110010001
295,1100000000001010000000001000000011100011001
296,110000000000101000000000100000001110001101
297,11000000000010100000000010000000111010
298,1100000000001010000000001000000011101
299,111001000011
300,11100100001
301,11000000000010100000000010000000111011
302,110000000000101000000000100000100
303,11000000000010100000000010000010
304,1100000000001010000000001000001
305,1100000000001010010
306,110000000000111
307,110000000000101101
308,11000000000010110
309,11100101000000
310,1110010100000
311,111001010000
312,11100101000
313,1110010100
314,111001010
315,11100101
316,11000000000010100000000010010
317,1100000000001010000000001001
318,1100000000001010001
319,110000000000101000001
320,1100000000001010000000001000001010
321,110000000000101000000000100000101
322,11000000000010100000001
323,11100101000001
324,110000000000101000000000100000001110001110000000
325,11000000000010100000000010000000111000111000000
326,1100000000001010000000001000000011100011100000
327,110000000000101000000000100000001110001110000
328,11000000000010100000000010000000111000111000
329,1100000000001010000000001000000011100011100
330,110000000000101000000000100000001110001110
331,11000000000010100000000010000000111000111
332,1100000000100
333,110000000010
334,11000000001
335,110000000000101000000000100000001110001111
336,11000000000010100000000010000010110
337,1100000000001010000000001000001011
338,1100000000001010000000001000000011100011101
339,1100000000001010000000110
340,110000000000101000000011
341,1110010101
342,110000000000101000000000100000001110001110000001
343,11000000000010100000000010000010111
344,11100101000010
345,1110010100001
346,11000000000010101
347,110000000011
348,111001001
349,111001010001
350,11000000000010100000000010000000111000111000001
351,110000000000101000000000100000110
352,11000000000010100000000010000011
353,110000000000101000000000100110
354,11000000000010100000000010011
355,11000000000010100000001110
356,1100000000001010000000111
357,1100000000001010111
358,110000000000101011
359,110000000000101110
360,11000000000010111
361,11100101000011
362,110000000000101000000000100000111
363,1100000000001010000000001001110
364,110000000000101000000000100111
365,11100101001
366,11000000000010100000001111
367,110000000000101111
368,11000000000010100000000010011110
369,1100000000001010000000001001111
370,11000000000010100000000010100
371,1100000000001010000000001010
372,110000000000101000000000101
373,110000000000100
374,11000000000010100000000010110
375,1100000000001010000000001011
376,1100000000101
377,110000000000101000000000100000001110001110001
378,11000000000010100000000010111
379,1100000001
380,111001011
381,1100000000001010000000001000000011100011100001000
382,110000000000101000000000100000001110001110000100
383,11000000000010100000000010000000111000111000010
384,1100000000001010000000001000000011100011100001
385,1100000000001010000000001000000011100011100100
386,110000000000101000000000100000001110001110010
387,11000000000010100000000010000000111000111001
388,11000000000010100000000010101
389,11000000000110000000101
390,1100000000011000000010
391,110000000001100000001
392,11000000000110000000
393,1100000000011000000
394,110000000001100000
395,11000000000110000
396,1100000000011000
397,110000000001100
398,11000000000110
399,1100000000011
400,110000000001
401,11000000000010100000000010000000111000111000010001
402,11000000000010100000000010011111000
403,1100000000001010000000001001111100
404,110000000000101000000000100111110
405,11000000000010100000000010011111
406,1110011
407,110000000000101000000000100000001110001110000100011
408,11000000000010100000000010011111001
409,110000000000101000000000100111111
410,1100000000001010000000001000000011100011100101
411,110000000001100010
412,11000000000110001
413,110000000000101000000000100000001110001110000110
414,11000000000010100000000010000000111000111000011
415,1100000000001010000000001000000011100011100001000111
416,11000000000111
417,1100000000011000000011
418,1100000000011001
419,110000001
420,1100000000001010000000001000000011100011100001101
421,110000000000101000000000100111110100
422,11000000000010100000000010011111010
423,1100000000001010000000001001111101
424,11000000000010100000000010011111011
425,1111
426,110000000001100011
427,110000010
428,11000001
429,11001
430,11000000000010100000000010000000111000111000010010
431,1100000000001010000000001000000011100011100001001
432,11101
433,110000000001100000100001
434,11000000000110000010000
435,1100000000011000001000
436,110000000001100000100
437,11000000000110000010
438,1100000000011000001
439,11000000000110000010001
440,11000000000010100000000010011111010100
441,1100000000001010000000001001111101010
442,110000000000101000000000100111110101
443,110000000000101000000000100000001110001110011
444,1100001
445,1100000000001010000000001001111101011
446,11000000000110000001
447,110000011
448,110000000000101000000000100111110101001
449,1100000000001010000000001000000011100011100001001010
450,110000000000101000000000100000001110001110000100101
451,11000000000010100000000010000000111000111000010011
452,1100000000001010000000001000000011100011100001001011
453,11000000000010100000000010011111010101
454,110000000000101000000000100000001110001110000101
455,1100000000001010000000001000000011100011100001110
456,110000000000101000000000100000001110001110000111
457,11000000000010100000000010000000111000111000011110
458,1100000000001010000000001000000011100011100001111
459,1100000000011010
460,110000000001101
461,11000000011
462,1100000000011011
463,1100010
464,110001
465,11000000000010100000000010000000111000111000011111
466,1100000000011000001001
467,11000000000010100000000010000000111000111000011101
