"rid","fromnode","tonode"
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
10,11,10
11,12,13
12,13,14
13,14,15
14,15,16
15,16,17
16,17,18
17,18,19
18,19,20
19,20,21
20,21,22
21,22,23
22,23,24
23,24,25
24,25,26
25,26,27
26,27,28
27,28,29
28,29,30
29,30,31
30,31,32
31,32,33
32,33,34
33,35,34
34,36,37
35,37,38
36,38,39
37,39,40
38,40,41
39,41,42
40,42,43
41,43,44
42,44,45
43,45,46
44,46,47
45,47,48
46,48,49
47,49,50
48,50,51
49,51,52
50,52,53
51,54,53
52,55,56
53,56,57
54,57,58
55,58,59
56,59,60
57,60,61
58,61,62
59,62,63
60,63,64
61,64,65
62,65,66
63,66,67
64,67,68
65,68,69
66,70,71
67,71,5
68,72,73
69,73,3
70,74,71
71,75,4
72,76,75
73,77,78
74,78,79
75,79,7
76,80,79
77,81,78
78,82,6
79,83,84
80,84,85
81,85,86
82,87,86
83,88,89
84,89,90
85,90,8
86,91,85
87,92,84
88,93,89
89,94,95
90,95,96
91,96,97
92,97,98
93,98,99
94,99,100
95,100,101
96,101,102
97,102,31
98,103,95
99,104,105
100,105,106
101,106,107
102,107,108
103,108,23
104,109,97
105,110,111
106,111,90
107,112,113
108,113,87
109,114,106
110,115,11
111,116,87
112,117,118
113,118,119
114,119,120
115,120,121
116,121,122
117,122,123
118,123,124
119,124,125
120,125,126
121,126,127
122,127,128
123,128,32
124,129,96
125,130,111
126,131,132
127,132,107
128,133,118
129,134,13
130,135,136
131,136,119
132,137,136
133,138,139
134,139,9
135,140,141
136,141,132
137,142,141
138,143,12
139,144,145
140,145,139
141,146,11
142,147,99
143,148,98
144,149,18
145,150,122
146,151,14
147,152,150
148,153,154
149,154,123
150,155,100
151,156,19
152,157,158
153,158,145
154,159,158
155,160,125
156,161,22
157,162,163
158,163,164
159,164,16
160,165,154
161,166,20
162,167,168
163,168,101
164,169,17
165,170,171
166,171,172
167,172,173
168,173,174
169,175,174
170,176,177
171,177,178
172,178,179
173,179,45
174,180,181
175,181,182
176,182,183
177,183,184
178,184,39
179,185,186
180,186,181
181,187,188
182,188,189
183,189,163
184,190,124
185,191,192
186,192,126
187,193,172
188,194,195
189,195,188
190,196,164
191,197,186
192,198,175
193,199,192
194,200,195
195,201,21
196,202,127
197,203,189
198,204,24
199,205,102
200,206,207
201,207,208
202,208,209
203,209,210
204,211,210
205,212,213
206,213,25
207,214,206
208,215,173
209,216,33
210,217,182
211,218,175
212,219,28
213,220,209
214,221,30
215,222,211
216,223,224
217,224,177
218,225,207
219,226,183
220,227,212
221,228,178
222,229,26
223,230,231
224,231,43
225,232,233
226,233,208
227,234,233
228,235,40
229,236,29
230,237,238
231,238,184
232,239,240
233,240,241
234,241,242
235,243,242
236,244,51
237,245,47
238,246,247
239,247,248
240,248,49
241,249,232
242,250,240
243,251,252
244,252,213
245,253,35
246,254,36
247,255,179
248,256,247
249,257,258
250,258,259
251,259,260
252,260,261
253,261,35
254,262,241
255,263,252
256,264,257
257,265,261
258,266,243
259,267,268
260,268,211
261,269,270
262,270,271
263,271,272
264,272,273
265,273,274
266,274,275
267,275,276
268,276,277
269,277,278
270,278,279
271,279,280
272,280,281
273,281,67
274,282,259
275,283,37
276,284,268
277,285,271
278,286,287
279,287,272
280,288,289
281,289,290
282,290,291
283,291,292
284,292,258
285,293,248
286,294,295
287,295,296
288,296,56
289,297,243
290,298,283
291,299,295
292,300,301
293,301,302
294,302,275
295,303,289
296,304,290
297,305,306
298,306,260
299,307,308
300,308,274
301,309,306
302,310,311
303,311,312
304,312,38
305,313,244
306,314,296
307,315,316
308,316,54
309,317,318
310,318,319
311,319,320
312,320,321
313,321,322
314,322,323
315,323,277
316,324,325
317,325,41
318,326,50
319,327,48
320,328,329
321,329,311
322,330,46
323,331,318
324,332,333
325,333,334
326,334,335
327,335,336
328,336,337
329,337,338
330,338,339
331,339,291
332,340,341
333,341,342
334,342,59
335,343,339
336,344,345
337,345,329
338,346,338
339,347,348
340,348,330
341,349,322
342,350,333
343,351,345
344,352,353
345,353,319
346,354,52
347,355,342
348,356,276
349,357,320
350,358,334
351,359,360
352,360,312
353,361,362
354,362,325
355,363,364
356,364,348
357,365,366
358,366,354
359,367,368
360,368,54
361,369,353
362,370,360
363,371,372
364,372,362
365,373,321
366,374,364
367,375,368
368,376,377
369,377,372
370,378,379
371,379,380
372,380,42
373,381,55
374,382,383
375,383,380
376,384,341
377,385,336
378,386,383
379,387,60
380,388,323
381,389,390
382,390,391
383,391,392
384,392,335
385,393,394
386,394,395
387,395,337
388,396,379
389,397,398
390,398,399
391,399,400
392,400,401
393,401,402
394,402,403
395,403,404
396,404,405
397,405,406
398,406,407
399,407,408
400,408,58
401,409,389
402,410,411
403,411,412
404,412,413
405,413,377
406,414,278
407,415,409
408,416,411
409,417,413
410,418,394
411,419,420
412,420,404
413,421,422
414,422,392
415,423,415
416,424,407
417,425,399
418,426,405
419,427,61
420,428,421
421,429,430
422,430,431
423,431,412
424,432,431
425,433,281
426,434,420
427,435,436
428,436,62
429,437,65
430,438,439
431,439,390
432,440,280
433,441,442
434,442,443
435,443,444
436,444,445
437,445,446
438,446,402
439,447,443
440,448,449
441,449,450
442,450,430
443,451,395
444,452,63
445,453,450
446,454,401
447,455,436
448,456,448
449,457,458
450,458,438
451,459,439
452,460,458
453,461,449
454,462,391
455,463,464
456,464,422
457,465,466
458,466,464
459,467,468
460,468,406
461,469,387
462,470,468
463,471,472
464,472,64
465,473,466
466,474,444
467,475,463
468,476,477
469,477,472
470,478,465
471,479,403
472,480,66
473,481,445
474,482,446
475,483,484
476,484,485
477,485,477
478,486,484
479,53,55
480,242,244
481,174,176
482,34,36
483,210,212
484,86,15
485,10,12
