"pointid","xcoord","ycoord"
1,1505418.14746722,4047969.55321312
2,1505324.43228061,4048125.7451908
3,1505699.29302704,4048812.9898926
4,1505793.00821365,4048906.70507921
5,1506074.15377348,4049187.85063903
6,1506136.63056455,4049375.28101225
7,1506324.06093777,4049781.38015422
8,1506386.53772884,4050249.95608726
9,1506292.82254223,4050312.43287834
10,1506226.81021725,4050409.68359885
11,1506230.34575116,4050406.14806495
12,1506011.67698241,4050562.34004263
13,1505980.43858687,4050593.57843816
14,1505730.53142258,4050812.24720692
15,1505668.05463151,4050843.48560245
16,1505574.3394449,4050999.67758013
17,1505261.95548954,4051187.10795335
18,1505105.76351185,4051249.58474442
19,1504855.85634757,4051343.29993103
20,1504574.71078774,4051437.01511764
21,1504512.23399667,4051499.49190871
22,1504418.51881006,4051561.96869979
23,1504231.08843684,4051718.16067747
24,1503949.94287701,4051968.06784176
25,1503856.22769041,4052093.0214239
26,1503543.84373504,4052249.21340158
27,1503450.12854843,4052280.45179712
28,1503325.17496629,4052280.45179712
29,1503231.45977968,4052311.69019266
30,1502856.59903325,4052311.69019266
31,1502575.45347342,4052280.45179712
32,1502325.54630913,4052374.16698373
33,1502013.16235377,4052561.59735695
34,1501758.25518948,4052686.55093909
35,1501763.25518948,4052686.55093909
36,1501544.58642073,4052780.2661257
37,1501357.15604751,4053030.17328999
38,1501200.96406983,4053186.36526767
39,1500701.14974125,4053248.84205874
40,1500607.43455464,4053280.08045428
41,1500513.71936803,4053529.98761857
42,1500420.00418142,4053498.74922303
43,1500201.33541267,4053529.98761857
44,1500138.85862159,4053592.46440964
45,1500045.14343499,4053623.70280518
46,1499826.47466623,4053779.89478286
47,1499514.09071087,4053654.94120071
48,1499326.66033765,4053717.41799179
49,1499139.22996444,4053686.17959625
50,1499076.75317336,4053748.65638732
51,1498889.32280015,4053904.848365
52,1498733.13082246,4053998.56355161
53,1498451.98526264,4054190.99392483
54,1498451.98526264,4054185.99392483
55,1498389.50847157,4054279.70911144
56,1497952.17093406,4054373.42429805
57,1497889.69414299,4054404.66269358
58,1497639.7869787,4054560.85467126
59,1497358.64141887,4054623.33146234
60,1497452.35660548,4054748.28504448
61,1497077.49585904,4055216.86097752
62,1497108.73425458,4055279.3377686
63,1497015.01906797,4055373.05295521
64,1496890.06548583,4055435.52974628
65,1496796.35029922,4055404.29135074
66,1496515.20473939,4055622.9601195
67,1496359.01276171,4055622.9601195
68,1496234.05917957,4055747.91370164
69,1495952.91361974,4055872.86728379
70,1506167.86896009,4048281.93716848
71,1506199.10735562,4049031.65866135
72,1505793.00821365,4048375.65235509
73,1505824.24660919,4048563.08272831
74,1506511.49131099,4048781.75149706
75,1505761.76981812,4048906.70507921
76,1505605.57784043,4049125.37384796
77,1506917.59045296,4049156.6122435
78,1506792.63687081,4049312.80422118
79,1506761.39847527,4049344.04261671
80,1506730.16007974,4049187.85063903
81,1506980.06724403,4049281.56582564
82,1505886.72340026,4049437.75780332
83,1504949.57153417,4049531.47298993
84,1505168.24030293,4049937.5721319
85,1505261.95548954,4050031.28731851
86,1505452.92139666,4050534.637181
87,1505449.38586275,4050531.10164709
88,1506948.82884849,4049718.90336315
89,1506886.35205742,4050000.04892298
90,1506855.11366188,4050031.28731851
91,1505386.90907168,4049812.61854976
92,1504730.90276542,4049875.09534083
93,1507229.97440832,4049937.5721319
94,1502669.16866003,4049968.81052744
95,1502637.93026449,4050125.00250512
96,1502669.16866003,4050218.71769173
97,1502794.12224217,4050374.90966941
98,1502981.55261539,4050937.20078906
99,1502950.31421986,4051312.0615355
100,1502919.07582432,4051468.25351318
101,1502887.83742878,4051593.20709532
102,1502794.12224217,4051780.63746854
103,1502512.97668235,4050000.04892298
104,1503575.08213058,4050093.76410958
105,1503543.84373504,4050249.95608726
106,1503575.08213058,4050281.1944828
107,1503762.5125038,4050843.48560245
108,1503918.70448148,4051155.86955782
109,1503012.79101093,4050031.28731851
110,1507073.78243064,4050062.52571405
111,1506948.82884849,4050062.52571405
112,1504605.94918328,4050156.24090066
113,1505074.52511632,4050499.86325155
114,1503668.79731719,4050187.47929619
115,1506074.15377348,4050218.71769173
116,1505574.3394449,4050218.71769173
117,1501950.6855627,4050218.71769173
118,1501763.25518948,4050468.62485602
119,1501732.01679394,4050593.57843816
120,1501732.01679394,4050624.8168337
121,1501794.49358501,4050905.96239353
122,1501856.97037609,4050999.67758013
123,1501919.44716716,4051124.63116228
124,1501981.92395823,4051343.29993103
125,1502013.16235377,4051405.7767221
126,1502200.59272699,4051811.87586408
127,1502231.83112252,4051843.11425961
128,1502263.06951806,4052124.25981944
129,1502544.21507788,4050249.95608726
130,1507261.21280385,4050343.67127387
131,1503981.18127255,4050343.67127387
132,1503918.70448148,4050718.53202031
133,1501700.77839841,4050343.67127387
134,1505886.72340026,4050374.90966941
135,1501638.30160733,4050437.38646048
136,1501732.01679394,4050562.34004263
137,1501544.58642073,4050437.38646048
138,1507042.5440351,4050531.10164709
