Constituent,Site,n_sites,CVt
NPOC..mg.C.L.,USF03,3,0.1612565530322118
NPOC..mg.C.L.,USF04,3,0.16236469409557275
NPOC..mg.C.L.,USF05,3,0.390655705890766
NPOC..mg.C.L.,USF07,3,0.1948569439971459
NPOC..mg.C.L.,USF12,3,0.16607155547171623
NPOC..mg.C.L.,USF13,3,0.08981665975376249
NPOC..mg.C.L.,USF14,3,0.04649504862499898
NPOC..mg.C.L.,USF15,3,0.06284957853059593
NPOC..mg.C.L.,USF16,3,0.14987203605133517
NPOC..mg.C.L.,USF17,3,0.07969959306605755
NPOC..mg.C.L.,USF18,3,0.04057255227704483
NPOC..mg.C.L.,USF19,3,1.1578395733659383
NPOC..mg.C.L.,USF20,3,0.12744558986688767
NPOC..mg.C.L.,USF21,3,0.10832814453861674
NPOC..mg.C.L.,USF22,3,0.040539933789840096
NPOC..mg.C.L.,USF23,3,0.23223310829090607
NPOC..mg.C.L.,USF24,3,0.19996797827984836
NPOC..mg.C.L.,USF25,3,0.21114609601423956
NPOC..mg.C.L.,USF26,3,0.17030071890920667
NPOC..mg.C.L.,USF28,3,0.3478408831635522
NPOC..mg.C.L.,USF29,3,0.3000283157418975
NPOC..mg.C.L.,USF31,3,0.1552634745330436
TDN..mg.N.L.,USF03,3,0.08579357312807669
TDN..mg.N.L.,USF04,3,0.12371791482634835
TDN..mg.N.L.,USF05,3,0.39525303787331634
TDN..mg.N.L.,USF07,3,0.1376739479171282
TDN..mg.N.L.,USF12,3,0.08928571428571426
TDN..mg.N.L.,USF13,3,0.039364791081110774
TDN..mg.N.L.,USF14,3,0.3275490280498011
TDN..mg.N.L.,USF15,3,0.30789608636681304
TDN..mg.N.L.,USF16,3,0.2848994126517264
TDN..mg.N.L.,USF17,3,0.22205395397855152
TDN..mg.N.L.,USF18,3,0.29597297173897485
TDN..mg.N.L.,USF19,3,0.1730126873493016
TDN..mg.N.L.,USF20,3,0.27201964383486954
TDN..mg.N.L.,USF21,3,0.21148927850193722
TDN..mg.N.L.,USF22,3,0.24216105241892635
TDN..mg.N.L.,USF23,3,0.11618856338545726
TDN..mg.N.L.,USF24,3,0.23237712677091452
TDN..mg.N.L.,USF25,3,0.3307189138830738
TDN..mg.N.L.,USF26,3,0.2773500981126146
TDN..mg.N.L.,USF28,3,0.5379349639086597
TDN..mg.N.L.,USF29,3,0.4764613917080241
TDN..mg.N.L.,USF31,3,0.18976585660336787
