Date,Site,Q,Area.m2,NPOC..mg.C.L.,TDN..mg.N.L.,Project,Q_Flag,Cl_Flag,DOY,CampaignID,logArea
2025-02-17,BRA01,11.368375,3063372,1.075,5.355,br,Original,Original,48,br_C1,14.935026827999767
2025-02-17,BRA02,3.6465,843581.7,0.33,5.215,br,Original,Gap filled,48,br_C1,13.645412034606089
2025-02-17,BRAA1,37.43275,4013941,1.71,2.92,br,Original,Original,48,br_C1,15.205284109675338
2025-02-17,BRAB1,3.9225,1321342,1.33,2.5,br,Original,Original,48,br_C1,14.094158444773678
2025-02-17,BRB01,4.429375,1659956,2.11,3.92,br,Original,Original,48,br_C1,14.32230165395734
2025-02-17,BRC01,4.47075,5970704,1.38,7.01,br,Original,Gap filled,48,br_C1,15.602375401364494
2025-02-17,BRCD1,8.732625,2188397,1.73,2.52,br,Original,Original,48,br_C1,14.59867987030631
2025-02-17,BRD01,19.95225,2360639,1.455,3.76,br,Original,Original,48,br_C1,14.67444290306405
2025-02-17,BRE01,0.824,2139884,1.38,5.14,br,Original,Gap filled,48,br_C1,14.57626217992138
2025-02-17,BRF01,7.1525,1106415,1.76,0.44,br,Original,Gap filled,48,br_C1,13.916635616724514
2025-02-17,BRM01,463.0125,52546187,1.48,3.83,br,Original,Original,48,br_C1,17.777203093187495
2025-02-17,BRM02,213.01225,40019899,1.81,4.04,br,Original,Original,48,br_C1,17.504887363378547
2025-02-17,BRM03,16.15725,30932496,1.75,3.2,br,Original,Original,48,br_C1,17.24731783975643
2025-02-17,BRM04,30.8625,27400199,1.79,2.02,br,Original,Original,48,br_C1,17.126060834105648
2025-02-17,BRM05,142.12275,11640030,1.455,1.675,br,Original,Original,48,br_C1,16.26996057758383
2025-02-17,BRM06,63.265125,5693321,1.215,1.955,br,Original,Gap filled,48,br_C1,15.554804291377895
2025-02-17,BRM07,16.10325,1249625,1.365,2.145,br,Original,Gap filled,48,br_C1,14.038354064269482
2025-02-17,BRMQ1,519.3165,52426956,1.405,3.925,br,Original,Original,48,br_C1,17.77493144449973
2025-02-17,BRMQ3,20.167125,27578785,1.715,2.3,br,Original,Original,48,br_C1,17.132557375696965
2025-02-17,BRMQ4,113.265,17622012,1.84,1.91,br,Original,Original,48,br_C1,16.684659360375555
2025-03-10,BRA01,12.801875,3063372,0.88,5.46,br,Original,Gap filled,69,br_C2,14.935026827999767
2025-03-10,BRA02,3.8915,843581.7,0.51,5.97,br,Original,Original,69,br_C2,13.645412034606089
2025-03-10,BRAA1,40.185,4013941,1.54,3.11,br,Original,Gap filled,69,br_C2,15.205284109675338
2025-03-10,BRAB1,3.2415,1321342,1.18,2.43,br,Original,Gap filled,69,br_C2,14.094158444773678
2025-03-10,BRB01,0.4995,1659956,1.48,3.86,br,Original,Gap filled,69,br_C2,14.32230165395734
2025-03-10,BRC01,64.70368193,5970704,1.75,6.9,br,Gap filled,Original,69,br_C2,15.602375401364494
2025-03-10,BRCD1,2.79075,2188397,1.32,2.47,br,Original,Original,69,br_C2,14.59867987030631
2025-03-10,BRD01,12.217125,2360639,1.15,4.52,br,Original,Original,69,br_C2,14.67444290306405
2025-03-10,BRE01,0.004,2139884,1.34,4.95,br,Original,Original,69,br_C2,14.57626217992138
