Date,Site,Q,Area.m2,NPOC..mg.C.L.,TDN..mg.N.L.,Project,Q_Flag,Cl_Flag,DOY,CampaignID,logArea
2024-07-16,USF03,134.4972654,28885655,2.695,0.29,nm,Original,Original,198,nm_C1,17.178855663069882
2024-07-16,USF04,0.397602057,1855105,7.29,0.25,nm,Original,Original,198,nm_C1,14.433451856195324
2024-07-16,USF05,147.4323507,25453951,5.525,0.57,nm,Original,Original,198,nm_C1,17.052381534491026
2024-07-16,USF07,4.158364207,2296412,5.87,0.87,nm,Original,Original,198,nm_C1,14.646858462832423
2024-07-16,USF12,118.0813,35878093,2.835,0.255,nm,Original,Original,198,nm_C1,17.395637444355547
2024-07-17,USF13,7.824995061,756190.5,3.42,0.15,nm,Original,Original,199,nm_C1,13.536048607545986
2024-07-17,USF14,21.72378671,2026488,2.585,0.1,nm,Original,Original,199,nm_C1,14.521814803493367
2024-07-17,USF15,3.529217257,848920.2,2.11,0.11,nm,Original,Original,199,nm_C1,13.65172046794301
2024-07-17,USF16,8.666349572,387371.4,2.55,0.13,nm,Original,Original,199,nm_C1,12.86713920172644
2024-07-17,USF17,1.316707755,219441.8,2.2,0.09,nm,Original,Original,199,nm_C1,12.298842328275619
2024-07-17,USF18,2.122972757,114357,2.75,0.11,nm,Original,Original,199,nm_C1,11.647080413143575
2024-07-17,USF19,2.489122492,118050.3,2.82,0.315,nm,Original,Original,199,nm_C1,11.678866083806492
2024-07-16,USF20,119.3189871,19141915,2.58,0.235,nm,Original,Original,198,nm_C1,16.767390991230794
2024-07-17,USF21,30.0474498,2818745,2.82,0.13,nm,Original,Original,199,nm_C1,14.851802308395632
2024-07-16,USF22,0.306203871,685111.6,5.93,0.23,nm,Original,Original,198,nm_C1,13.437337023682417
2024-07-16,USF23,3.761500422,1428947,3.88,0.79,nm,Original,Original,198,nm_C1,14.172448367350857
2024-07-16,USF24,1.426604275,1484873,3.52,0.23,nm,Original,Original,198,nm_C1,14.21083980467621
2024-07-16,USF25,0.367883974,1144825,2.99,0.12,nm,Original,Original,198,nm_C1,13.950762344861547
2024-07-16,USF26,1.138190993,429695.9,2.83,0.1,nm,Gap filled,Original,198,nm_C1,12.970833028176957
2024-07-17,USF27,0.490761094,190933.5,2.58,0.1,nm,Original,Original,199,nm_C1,12.159680478865111
2024-07-17,USF28,0.597096303,56663.36,3.39,0.1,nm,Original,Original,199,nm_C1,10.944883072720513
