Metric,N,Median_Sync,P05_Sync,P95_Sync,Ref_Sync,Bias
Cross,3,-0.12613884410639736,-0.38094288397463844,0.15171193190473603,-0.1248010183128222,-0.0013378257935751647
Cross,4,-0.1343565041459257,-0.30763311395150184,0.11454766972395883,-0.1248010183128222,-0.009555485833103505
Cross,5,-0.14845918464818575,-0.3061495655315866,0.0774114295063503,-0.1248010183128222,-0.02365816633536355
Cross,7,-0.1421188789707003,-0.27468976381066945,0.02704761527074319,-0.1248010183128222,-0.017317860657878104
Cross,10,-0.1449683365565579,-0.25115807595691225,-0.03554666008455845,-0.1248010183128222,-0.020167318243735688
Cross,15,-0.13285340798703887,-0.2090908003801923,-0.03266683367990158,-0.1248010183128222,-0.008052389674216676
Cross,20,-0.13549191787200737,-0.1947259138529427,-0.06508224363220463,-0.1248010183128222,-0.010690899559185174
Cross,30,-0.12653516979804735,-0.18406071822653944,-0.0768466125614978,-0.1248010183128222,-0.001734151485225155
Cross,50,-0.1237182162848114,-0.15749487944192045,-0.06714667603647485,-0.1248010183128222,0.0010828020280107958
NPOC..mg.C.L.,3,0.8939133253847049,0.38656416283447625,0.9986781367701155,0.8027513080738491,0.09116201731085583
NPOC..mg.C.L.,4,0.8935331751342848,0.5615521163380855,0.9958769147509877,0.8027513080738491,0.09078186706043567
NPOC..mg.C.L.,5,0.8906642103074394,0.7064030973499028,0.989251789716928,0.8027513080738491,0.08791290223359027
NPOC..mg.C.L.,7,0.8727526023744394,0.7561039501784458,0.9657277259300032,0.8027513080738491,0.07000129430059032
NPOC..mg.C.L.,10,0.8580933022429755,0.7715853576979801,0.9303128656216505,0.8027513080738491,0.05534199416912644
NPOC..mg.C.L.,15,0.8351395509588873,0.7559219137060089,0.8967636777163147,0.8027513080738491,0.032388242885038165
NPOC..mg.C.L.,20,0.8256708857048616,0.7597083657816408,0.8700549933329306,0.8027513080738491,0.02291957763101249
NPOC..mg.C.L.,30,0.8117145228299897,0.756631718513488,0.8544032852810495,0.8027513080738491,0.008963214756140592
NPOC..mg.C.L.,50,0.8024677086904753,0.7687767484921183,0.8325661826392032,0.8027513080738491,-2.835993833737449e-4
TDN..mg.N.L.,3,0.07644808082672978,0.002490827098834717,0.1936621563427157,0.0929486468328514,-0.01650056600612161
TDN..mg.N.L.,4,0.0882255660845904,0.016026528355488765,0.16790121184143061,0.0929486468328514,-0.004723080748260999
TDN..mg.N.L.,5,0.09187579784259234,0.022539734110591302,0.17164017051824632,0.0929486468328514,-0.0010728489902590566
TDN..mg.N.L.,7,0.10018766216128046,0.05026957740120512,0.1547705846203184,0.0929486468328514,0.007239015328429063
TDN..mg.N.L.,10,0.10364796668476946,0.06217752081465988,0.14654007635331762,0.0929486468328514,0.010699319851918063
TDN..mg.N.L.,15,0.1036576022672592,0.06905456941120479,0.13433262499549292,0.0929486468328514,0.010708955434407808
TDN..mg.N.L.,20,0.10339676187227409,0.0753202880967927,0.13273211056362796,0.0929486468328514,0.010448115039422695
TDN..mg.N.L.,30,0.10408550167786501,0.08126793424883778,0.131179895646285,0.0929486468328514,0.011136854845013616
TDN..mg.N.L.,50,0.10499089971091231,0.08790544731883027,0.12270501799058096,0.0929486468328514,0.012042252878060919
