Metric,N,Median_Sync,P05_Sync,P95_Sync,Ref_Sync,Bias
Cross,3,0.7890160907997418,0.192245741818672,0.958335201348272,0.7169609350246676,0.07205515577507415
Cross,4,0.7739091028278193,0.39988144875899206,0.9546717528636398,0.7169609350246676,0.056948167803151706
Cross,5,0.7652456490697329,0.48989988901773135,0.9304071114975372,0.7169609350246676,0.04828471404506529
Cross,7,0.7649389978544968,0.5975367811729467,0.8726398748914015,0.7169609350246676,0.04797806282982919
Cross,10,0.7459022411535501,0.6022983544350153,0.8421593878655469,0.7169609350246676,0.02894130612888246
Cross,15,0.7240219305671685,0.6310921584538558,0.7939727175545084,0.7169609350246676,0.007060995542500836
Cross,20,0.7139191130211426,0.6404843897331898,0.7769897673360096,0.7169609350246676,-0.0030418220035249854
Cross,30,0.6940003502577542,0.6208329989428426,0.7498553905863032,0.7169609350246676,-0.022960584766913428
Cross,50,0.6810096219925952,0.6268792662312276,0.7291519038281244,0.7169609350246676,-0.03595131303207244
NPOC..mg.C.L.,3,0.9587954853244063,0.507110692758248,0.9993283603700246,0.9054672706231578,0.05332821470124849
NPOC..mg.C.L.,4,0.9577267578354379,0.8136084626948002,0.9988208506413206,0.9054672706231578,0.05225948721228013
NPOC..mg.C.L.,5,0.9488966064856041,0.8357346460465235,0.9982597781357325,0.9054672706231578,0.04342933586244635
NPOC..mg.C.L.,7,0.9397273948284198,0.8626593782698966,0.9863214314947062,0.9054672706231578,0.03426012420526203
NPOC..mg.C.L.,10,0.9337818522604366,0.875467569849376,0.9807160604129301,0.9054672706231578,0.028314581637278846
NPOC..mg.C.L.,15,0.9193829056888578,0.8764501331274405,0.9515359046480527,0.9054672706231578,0.013915635065700038
NPOC..mg.C.L.,20,0.9159472077229209,0.8799791305811542,0.9499412026910229,0.9054672706231578,0.010479937099763137
NPOC..mg.C.L.,30,0.9107239609246209,0.8805518310443539,0.9337882156258506,0.9054672706231578,0.0052566903014631405
NPOC..mg.C.L.,50,0.907637615407995,0.8838699385143957,0.92904020306742,0.9054672706231578,0.0021703447848372415
TDN..mg.N.L.,3,0.6845077455494966,0.08477621185864494,0.9238784687804088,0.6066823872459549,0.07782535830354165
TDN..mg.N.L.,4,0.646931922144458,0.21951043289835206,0.9154237315810638,0.6066823872459549,0.040249534898503136
TDN..mg.N.L.,5,0.6656725259629928,0.38879948582390783,0.8810622843620823,0.6066823872459549,0.05899013871703784
TDN..mg.N.L.,7,0.6578106878075506,0.45205703893728455,0.7985601485817764,0.6066823872459549,0.051128300561595674
TDN..mg.N.L.,10,0.6404706449631086,0.468532486057056,0.7516544172273636,0.6066823872459549,0.03378825771715366
TDN..mg.N.L.,15,0.6069562673918911,0.5021224363271272,0.7038010142035142,0.6066823872459549,2.738801459362117e-4
TDN..mg.N.L.,20,0.5979020322400064,0.5151013745531398,0.6716129338344174,0.6066823872459549,-0.008780355005948537
TDN..mg.N.L.,30,0.5679264802190103,0.5009258342735664,0.632977557646311,0.6066823872459549,-0.03875590702694465
TDN..mg.N.L.,50,0.5567834856112983,0.49903502235949615,0.6123595313667032,0.6066823872459549,-0.0498989016346566
