Date,Site,Q,Area.m2,NPOC..mg.C.L.,TDN..mg.N.L.,Project,Q_Flag,Cl_Flag
7/8/24,USF12,174.9981,35878093,3.06,0.22,nm,Original,Original
7/8/24,USF20,181.3953488,19141915,2.74,0.2,nm,Original,Original
7/16/24,USF03,134.4972654,28885655,2.695,0.29,nm,Original,Original
7/16/24,USF04,0.397602057,1855105,7.29,0.25,nm,Original,Original
7/16/24,USF05,147.4323507,25453951,5.525,0.57,nm,Original,Original
7/16/24,USF07,4.158364207,2296412,5.87,0.87,nm,Original,Original
7/16/24,USF12,118.0813,35878093,2.835,0.255,nm,Original,Original
7/16/24,USF20,119.3189871,19141915,2.58,0.235,nm,Original,Original
7/16/24,USF22,0.306203871,685111.6,5.93,0.23,nm,Original,Original
7/16/24,USF23,3.761500422,1428947,3.88,0.79,nm,Original,Original
7/16/24,USF24,1.426604275,1484873,3.52,0.23,nm,Original,Original
7/16/24,USF25,0.367883974,1144825,2.99,0.12,nm,Original,Original
7/16/24,USF26,1.138190993,429695.9,2.83,0.1,nm,Gap filled,Original
7/17/24,USF13,7.824995061,756190.5,3.42,0.15,nm,Original,Original
7/17/24,USF14,21.72378671,2026488,2.585,0.1,nm,Original,Original
7/17/24,USF15,3.529217257,848920.2,2.11,0.11,nm,Original,Original
7/17/24,USF16,8.666349572,387371.4,2.55,0.13,nm,Original,Original
7/17/24,USF17,1.316707755,219441.8,2.2,0.09,nm,Original,Original
7/17/24,USF18,2.122972757,114357,2.75,0.11,nm,Original,Original
7/17/24,USF19,2.489122492,118050.3,2.82,0.315,nm,Original,Original
7/17/24,USF21,30.0474498,2818745,2.82,0.13,nm,Original,Original
7/17/24,USF27,0.490761094,190933.5,2.58,0.1,nm,Original,Original
7/17/24,USF28,0.597096303,56663.36,3.39,0.1,nm,Original,Original
7/17/24,USF29,2.489929087,71086.77,3.57,0.36,nm,Original,Original
7/17/24,USF31,1.989298615,252856.1,3.07,0.16,nm,Gap filled,Original
7/26/24,USF21,21.17880379,2818745,2.765,0.175,nm,Original,Original
7/30/24,USF12,75.32281,35878093,2.845,0.23,nm,Original,Original
