Site,Area_m2_delineated
BRM01,53091407.173007436
BRMQ1,4103396.080622155
BRAA1,48774302.71148223
BRA01,3133413.7490826333
BRM02,285920.3452137344
BRAB1,40162538.047636196
BRB01,1689174.4626765938
BRM03,31317548.255760644
BRMQ3,28122656.753265824
BRM04,27654254.822540723
BRCD1,17896857.103138108
BRMQ4,17884171.217514176
BRD01,2263942.66517148
BRE01,2180020.6525851497
BRM05,11778356.883035263
BRF01,1111478.7481166779
BRM06,5808183.940997062
BRM07,1263709.3756027818
BRC01,6141920.31663675
BRA02,1680391.9264775002
