Site,Area_m2_delineated
USF03,26802517.9032353
USF04,1719352.499824775
USF05,21988906.579785686
USF06,17859390.307887416
USF07,2160704.14598578
USF08,78675.72822844831
USF09,1815298.5098597691
USF10,5957287.763065919
USF11,4677367.989198725
USF12,33497630.48346601
USF13,703284.2535553689
USF14,1879582.3365827596
USF15,824176.2261997407
USF16,342527.25582455494
USF17,268648.82809782855
USF18,38378.40401399171
USF19,105540.61103832535
USF20,17828687.584676128
USF21,2607812.552747825
USF22,650513.9480363147
USF23,1325973.8586825707
USF24,1385460.3849034854
USF25,1068838.551788736
USF26,517148.99408784136
USF27,154473.07615614336
USF28,31662.183311496152
USF29,39337.864114279066
USF31,217797.44277909797
