"pointid","xcoord","ycoord"
1,427133.449547566,3948642.89647847
2,426885.648323957,3949076.54861979
3,426637.847100348,3949169.47407864
4,426482.971335592,3949417.27530225
5,426421.021029689,3949479.22560815
6,426142.244653129,3949510.2007611
7,425708.592511812,3949819.95229062
8,425584.691900008,3949758.00198471
9,425460.791288203,3949696.05167881
10,427412.225924127,3948766.79709028
11,427257.350159371,3948890.69770208
12,427102.474394615,3948921.67285503
13,426947.598629859,3949045.57346684
14,426916.623476908,3949076.54861979
15,427195.399853469,3948859.72254913
16,426575.896794445,3948859.72254913
17,426328.095570836,3949107.52377274
18,426235.170111982,3949231.42438454
19,426792.722865103,3948952.64800798
20,426328.095570836,3948952.64800798
21,427536.126535932,3949169.47407864
22,426885.648323957,3949634.10137291
23,426730.772559201,3949819.95229062
24,426049.319194275,3950160.67897308
25,426018.344041324,3950129.70382013
26,425956.393735422,3950005.80320832
27,425894.443429519,3949974.82805537
28,425832.493123617,3949355.32499635
29,427009.548935762,3949479.22560815
30,427319.300465273,3949850.92744357
31,427133.449547566,3950036.77836127
32,426823.698018055,3950346.52989079
33,426328.095570836,3950594.3311144
34,426297.120417885,3950563.35596144
35,426173.21980608,3950439.45534964
36,427319.300465273,3949912.87774947
37,427598.076841834,3950005.80320832
38,427474.176230029,3950191.65412603
39,427412.225924127,3950222.62927898
40,425770.542817715,3950098.72866718
41,427752.95260659,3950315.55473783
42,425956.393735422,3950501.40565554
43,427319.300465273,3950749.20687915
44,427164.424700518,3950904.08264391
45,426668.822253299,3951089.93356161
46,426575.896794445,3950904.08264391
47,426482.971335592,3950780.1820321
48,426451.996182641,3950749.20687915
49,426390.045876738,3950656.2814203
50,427257.350159371,3950780.1820321
51,426049.319194275,3950780.1820321
52,426266.145264933,3950811.15718505
53,427412.225924127,3950904.08264391
54,427040.524088713,3951306.75963227
55,426854.673171006,3951430.66024408
56,426792.722865103,3951368.70993817
57,426730.772559201,3951239.80932637
58,426730.772559201,3951244.80932637
59,426730.772559201,3951213.83417342
60,427629.051994785,3950966.03294981
61,427505.15138298,3951120.90871457
62,427412.225924127,3951151.88386752
63,426142.244653129,3951089.93356161
64,427876.853218395,3951120.90871457
65,426978.57378281,3951151.88386752
66,427752.95260659,3951306.75963227
67,426204.194959031,3951337.73478522
68,426575.896794445,3951399.68509113
69,426885.648323957,3951461.63539703
70,426637.847100348,3951554.56085588
71,427752.95260659,3951585.53600883
72,427195.399853469,3951585.53600883
73,427009.548935762,3951616.51116178
74,426297.120417885,3951647.48631474
75,426451.996182641,3951585.53600883
76,426421.021029689,3951771.38692654
77,426885.648323957,3951802.36207949
78,427040.524088713,3951771.38692654
79,427443.201077078,3951833.33723244
80,427102.474394615,3951833.33723244
81,427876.853218395,3951926.2626913
82,427691.002300687,3951957.23784425
83,427536.126535932,3952050.1633031
84,427195.399853469,3952112.113609
85,427164.424700518,3951988.2129972
86,427907.828371346,3951957.23784425
87,426421.021029689,3952019.18815015
88,426544.921641494,3952050.1633031
89,426823.698018055,3952112.113609
90,426916.623476908,3952112.113609
91,426421.021029689,3952112.113609
92,427969.778677248,3952205.03906786
93,427319.300465273,3952452.84029147
94,427288.325312322,3952390.88998556
95,427195.399853469,3952205.03906786
96,427102.474394615,3952236.01422081
97,426513.946488543,3952266.98937376
98,426606.871947396,3952174.0639149
